"","Adjusted_Price_Blended","Returns_Blended"
"1986-12-31",571.4950025,NA
"1987-01-02",569.115013,-0.00416449748394798
"1987-01-05",575.2600095,0.010797459844905
"1987-01-06",577.550003,0.00398079731283674
"1987-01-07",577.240013,-0.000536732747623336
"1987-01-08",572.324997,-0.00851468347534678
"1987-01-09",563.5200045,-0.0153846023608156
"1987-01-12",569.8549805,0.0112417943452088
"1987-01-13",566.345001,-0.0061594258541362
"1987-01-14",569.515015,0.00559731964509735
"1987-01-15",574.9299925,0.00950805045938963
"1987-01-16",575.030014,0.000173971616205026
"1987-01-19",572.74501,-0.00397371257911405
"1987-01-20",572.0699925,-0.00117856548414097
"1987-01-21",570.1549835,-0.00334750821596375
"1987-01-22",575.300003,0.00902389639465473
"1987-01-23",576.8600005,0.00271162435575367
"1987-01-26",570.2850035,-0.0113979076280226
"1987-01-27",570.970001,0.0012011494179156
"1987-01-28",556.999985,-0.0244671628553741
"1987-01-29",560.8099975,0.00684023806571576
"1987-01-30",566.580002,0.0102886976439824
"1987-02-02",562.7400205,-0.00677747447217525
"1987-02-03",557.794983,-0.00878742815484546
"1987-02-04",559.085022,0.00231274758525379
"1987-02-05",557.0950165,-0.00355939691047547
"1987-02-06",561.1349945,0.00725186526596744
"1987-02-09",561.444992,0.000552447277461621
"1987-02-10",556.48999,-0.00882544518270445
"1987-02-11",557.5500035,0.00190482042632967
"1987-02-12",558.075012,0.000941634825045723
"1987-02-13",560.619995,0.00456028839363265
"1987-02-17",559.649994,-0.00173022904757447
"1987-02-18",559.7850185,0.00024126597238916
"1987-02-19",564.820007,0.00899450384272837
"1987-02-20",565.294998,0.000840959941420749
"1987-02-23",560.869995,-0.00782777667528567
"1987-02-24",560.3900145,-0.000855778530281404
"1987-02-25",558.6950075,-0.0030246916542801
"1987-02-26",560.5949855,0.00340074275677149
"1987-02-27",562.5849915,0.00354981056105075
"1987-03-02",562.850006,0.000471065712744023
"1987-03-03",560.169983,-0.00476152255739692
"1987-03-04",568.700012,0.0152275724492006
"1987-03-05",572.7799835,0.00717420681186853
"1987-03-06",572.7400055,-6.97964334502865e-05
"1987-03-09",572.6149905,-0.000218275306071769
"1987-03-10",570.9249875,-0.00295137750152896
"1987-03-11",567.5450135,-0.00592017178088577
"1987-03-12",571.419998,0.00682762495983069
"1987-03-13",572.4450075,0.0017937935381811
"1987-03-16",571.7200165,-0.00126648147944597
"1987-03-17",570.469986,-0.00218643822836995
"1987-03-18",573.7350005,0.0057233764792668
"1987-03-19",568.2799835,-0.00950790346631492
"1987-03-20",573.150009,0.00856976427359957
"1987-03-23",580.800003,0.0133472806069521
"1987-03-24",584.2000125,0.00585401081686965
"1987-03-25",584.3399965,0.000239616564540857
"1987-03-26",587.8399965,0.00598966358791775
"1987-03-27",589.51001,0.00284093207325675
"1987-03-30",583.25,-0.0106190054346998
"1987-03-31",580.570007,-0.00459493013287604
"1987-04-01",588.1650085,0.0130819735922045
"1987-04-02",591.01001,0.00483708051122522
"1987-04-03",594.6899875,0.00622659081527233
"1987-04-06",601.369995,0.0112327559575736
"1987-04-07",596.5100095,-0.00808152308962473
"1987-04-08",596.3399965,-0.000285012820057329
"1987-04-09",594.23999,-0.00352149195479956
"1987-04-10",588.5499875,-0.00957526015709576
"1987-04-13",580.4049985,-0.0138390776875176
"1987-04-14",580.080002,-0.000559947796521243
"1987-04-15",586.575012,0.0111967486857096
"1987-04-16",591.194992,0.00787619640367487
"1987-04-20",589.7100065,-0.00251183707591351
"1987-04-21",591.3099975,0.00271318272093812
"1987-04-22",593.845001,0.00428709731057775
"1987-04-23",591.675018,-0.00365412354460481
"1987-04-24",586.069992,-0.00947314966744139
"1987-04-27",576.7599945,-0.0158854703825203
"1987-04-28",580.7900085,0.00698733275267061
"1987-04-29",584.470001,0.00633618424239812
"1987-04-30",584.9100035,0.000752823069186004
"1987-05-01",585.675003,0.00130789265942188
"1987-05-04",584.8349915,-0.00143426216877496
"1987-05-05",585.3849945,0.000940441334724706
"1987-05-06",588.189987,0.00479170550382135
"1987-05-07",588.775009,0.00099461400725942
"1987-05-08",588.0350035,-0.00125685616523841
"1987-05-11",589.455017,0.0024148451904189
"1987-05-12",586.5400085,-0.00494526030982956
"1987-05-13",588.3750155,0.00312852827327648
"1987-05-14",588.6749875,0.000509831301631847
"1987-05-15",576.769989,-0.0202233809025223
"1987-05-18",577.749985,0.0016991105964077
"1987-05-19",572.6350095,-0.00885326807927123
"1987-05-20",567.145004,-0.00958726834531776
"1987-05-21",567.0950165,-8.81388351257062e-05
"1987-05-22",569.8950045,0.00493742303940703
"1987-05-26",576.970001,0.0124145613562752
"1987-05-27",579.1100005,0.00370903079239993
"1987-05-28",580.024994,0.00157999948059939
"1987-05-29",578.2549895,-0.00305160039362029
"1987-06-01",581.1750035,0.00504969961871815
"1987-06-02",575.784988,-0.00927434157962714
"1987-06-03",579.020004,0.00561844450171733
"1987-06-04",582.2549895,0.00558700127396627
"1987-06-05",579.100006,-0.00541855983528672
"1987-06-08",581.400009,0.00397168533270564
"1987-06-09",580.224991,-0.00202101476059646
"1987-06-10",579.1349945,-0.00187857558172655
"1987-06-11",583.4950105,0.00752849688139512
"1987-06-12",585.450012,0.00335050251470825
"1987-06-15",591.480011,0.0102997674889449
"1987-06-16",595.0849915,0.00609484755690248
"1987-06-17",595.3699955,0.000478929907611336
"1987-06-18",595.440002,0.000117584864083309
"1987-06-19",602.064987,0.0111262007553197
"1987-06-22",609.189987,0.0118342706416177
"1987-06-23",612.005005,0.00462091968034928
"1987-06-24",604.2299805,-0.0127041845025434
"1987-06-25",606.309982,0.00344240035603449
"1987-06-26",608.2899935,0.00326567524662669
"1987-06-29",608.830002,0.000887748451840809
"1987-06-30",604.649994,-0.00686564063247319
"1987-07-01",598.6300045,-0.00995615572601816
"1987-07-02",604.8900145,0.0104572272571413
"1987-07-06",611.5550075,0.0110185204586477
"1987-07-07",612.275009,0.00117732908923962
"1987-07-08",615.7450105,0.0056673903866622
"1987-07-09",614.1399995,-0.00260661633083603
"1987-07-10",615.095001,0.00155502247171269
"1987-07-13",614.6799925,-0.000674706345077269
"1987-07-14",618.304993,0.00589737838262239
"1987-07-15",619.669998,0.00220765644051646
"1987-07-16",622.425018,0.00444594705067525
"1987-07-17",627.8100125,0.00865163568987515
"1987-07-20",628.38501,0.00091587819332517
"1987-07-21",625.044983,-0.00531525569013802
"1987-07-22",622.800003,-0.00359170949461074
"1987-07-23",619.9649965,-0.00455203353619782
"1987-07-24",621.2299955,0.00204043616517313
"1987-07-27",623.775009,0.00409673312369851
"1987-07-28",627.085007,0.00530639726222204
"1987-07-29",632.5149995,0.0086591011416095
"1987-07-30",637.924988,0.00855313866750462
"1987-07-31",637.2450105,-0.00106592077876078
"1987-08-03",638.625,0.00216555559833598
"1987-08-04",636.7150115,-0.00299078254061469
"1987-08-05",637,0.000447591928653734
"1987-08-06",641.6549835,0.00730766640502356
"1987-08-07",643.0599975,0.00218967207631771
"1987-08-10",645.230011,0.00337451172275727
"1987-08-11",643.00499,-0.00344841523498196
"1987-08-12",647.0950015,0.00636077723129325
"1987-08-13",647.224991,0.000200881632061334
"1987-08-14",647.889984,0.00102745260032755
"1987-08-17",646.609985,-0.00197564251896198
"1987-08-18",639.25,-0.0113824177954815
"1987-08-19",634.960007,-0.00671097849041846
"1987-08-20",642.0299835,0.0111345225243453
"1987-08-21",642.9650115,0.0014563618896779
"1987-08-24",637.610001,-0.00832861882718472
"1987-08-25",639.339981,0.00271322594891377
"1987-08-26",638.3850095,-0.0014936833740733
"1987-08-27",637.3399965,-0.00163696356344356
"1987-08-28",637.2949985,-7.06028183498075e-05
"1987-08-31",640.429993,0.00491922030987024
"1987-09-01",638.5149995,-0.00299016835709009
"1987-09-02",634.4599915,-0.00635068558009644
"1987-09-03",629.8749845,-0.00722662904111582
"1987-09-04",623.5450135,-0.0100495672248753
"1987-09-08",616.5149845,-0.011274292709904
"1987-09-09",616.8400115,0.000527200486884372
"1987-09-10",622.605011,0.0093460206739524
"1987-09-11",627.699997,0.00818333599952337
"1987-09-14",631.9449925,0.00676277763308653
"1987-09-15",627.095001,-0.00767470516826663
"1987-09-16",622.884979,-0.00671353143189857
"1987-09-17",624.51001,0.00260887813125432
"1987-09-18",621.6799925,-0.00453158068675308
"1987-09-21",618.8199925,-0.00460043757962825
"1987-09-22",620.994995,0.00351475796897427
"1987-09-23",629.519989,0.0137279592728441
"1987-09-24",625.5999905,-0.00622696430374992
"1987-09-25",624.2500155,-0.00215788845987841
"1987-09-28",628.600006,0.00696834664315671
"1987-09-29",628.945007,0.000548840274748663
"1987-09-30",626.2700045,-0.00425315801894899
"1987-10-01",632.7649995,0.0103709182195073
"1987-10-02",636.1350095,0.005325847672774
"1987-10-05",638.749985,0.0041107240773548
"1987-10-06",632.2400055,-0.0101917489673209
"1987-10-07",627.1649935,-0.00802703396787818
"1987-10-08",627.2450105,0.000127585246034512
"1987-10-09",618.850006,-0.0133839318917947
"1987-10-12",614.515015,-0.00700491388538516
"1987-10-13",618.194992,0.0059884248719293
"1987-10-14",611.030014,-0.0115901585951379
"1987-10-15",599.955002,-0.0181251521958787
"1987-10-16",588.464996,-0.0191514462946342
"1987-10-19",524.0800015,-0.109411766099338
"1987-10-20",510.0800095,-0.0267134635168863
"1987-10-21",544.875,0.0682147699418909
"1987-10-22",524.095001,-0.0381371855930259
"1987-10-23",518.405014,-0.0108567854857293
"1987-10-26",481.0050125,-0.0721443668366988
"1987-10-27",487.339996,0.0131703066192062
"1987-10-28",467.300003,-0.0411211744664602
"1987-10-29",468.040001,0.00158356087149425
"1987-10-30",491.2699965,0.0496325003212708
"1987-11-02",490.5899965,-0.00138416757555848
"1987-11-03",481.845001,-0.0178254664024727
"1987-11-04",469.2249985,-0.0261910001635567
"1987-11-05",468.2999955,-0.00197134211296712
"1987-11-06",466.724991,-0.00336323834109464
"1987-11-09",448.6300125,-0.0387701084127291
"1987-11-10",427.450012,-0.0472103958938769
"1987-11-11",437.1299895,0.0226458702263412
"1987-11-12",462.4200055,0.0578546807756826
"1987-11-13",460.105003,-0.00500627670184128
"1987-11-16",470.8550035,0.0233642330118284
"1987-11-17",460.579994,-0.0218220246649667
"1987-11-18",460.959999,0.000825057546898211
"1987-11-19",454.715004,-0.0135478024417472
"1987-11-20",447.63501,-0.0155701789862206
"1987-11-23",450.584999,0.00659016594792261
"1987-11-24",461.265007,0.0237025378645594
"1987-11-25",459.680008,-0.00343620039661929
"1987-11-27",457.775009,-0.00414418501315372
"1987-11-30",444.165016,-0.029730747053516
"1987-12-01",443.450012,-0.00160977108561833
