"","HL.Adjusted","IGOI.Adjusted","NBGIF.Adjusted","SQBG.Adjusted","TWTR.Adjusted","UTSI.Adjusted"
"2014-07-21",-0.00906355246116497,-0.025,0,0.000714796283059371,0.0269905540348327,0.013840830449827
"2014-07-22",-0.00914613980109003,0,0,0.00785714285714278,-0.0105124050068963,-0.00682593856655289
"2014-07-23",-0.00923087871415729,0,0,-0.00850460666194186,0.00265598923474153,0.0103092783505154
"2014-07-24",-0.0248445941586664,0,0,-0.00428877769835601,0.0254304370860927,-0.00680272108843538
"2014-07-25",0.0541400080240735,-0.192307692307692,0,-0.0459440057430007,-0.0142081894654662,0.0136986301369864
"2014-07-28",-0.0120845304962337,0.0793650793650793,0,-0.0353649360421369,-0.006027253668763,0.0067567567567568
"2014-07-29",0.0183485291038672,-0.0588235294117646,0,-0.0226209048361935,0.0174004745583971,0
"2014-07-30",-0.00600597555076543,0.00312499999999982,0,-0.0239425379090182,0.19979266649391,0
"2014-07-31",-0.0453171439498661,-0.00311526479750768,0,-0.0163532297628782,-0.0239740825912329,0.00335570469798663
"2014-08-01",-0.022151945877499,0,-0.1,0.00665004156275972,-0.0234564731900082,-0.020066889632107
"2014-08-04",0.00970852242938935,0,0,0.0355078447563997,-0.0149558120336321,-0.0170648464163824
"2014-08-05",-0.00320494843250752,0.015625,-0.0317460317460317,0.0933014354066988,0.00828159631282266,-0.0104166666666666
"2014-08-06",0.0418009234762511,-0.0153846153846153,-0.00327868852459012,-0.00729394602479949,-0.00844177465472162,0.00350877192982457
"2014-08-07",-0.0185187349395118,0,-0.00328947368421051,-0.0154298310066128,-0.0105844227009763,0.0104895104895106
"2014-08-11",0.0251574249851885,0,-0.00660066006600657,0.0171641791044777,0.00627906976744197,-0.013840830449827
"2014-08-12",0,0,0.0498338870431894,-0.0396184886280265,0.0124798012479777,-0.00350877192982468
"2014-08-13",0.0061346226651422,-0.0156250000000001,0.0126582278481013,0.0305576776165011,0.0077608078575484,-0.0105633802816901
"2014-08-14",-0.00914613980109003,0,0.00312500000000004,-0.033358042994811,0.0267270656069278,0.0142348754448398
"2014-08-15",0.00923056382830656,0.00952380952380971,0,-0.00153374233128833,-0.0125745416909533,-0.024561403508772
"2014-08-18",0.0121953730778881,-0.0188679245283019,-0.0186915887850467,0.0299539170506913,0.0080429181431152,0.0467625899280577
"2014-08-19",-0.00301218653239455,0,0.0222222222222221,-0.00372856077554073,-0.000664871468636252,-0.013745704467354
"2014-08-20",-0.0060422652481168,0.0256410256410258,0.0279503105590062,-0.0149700598802395,-0.000665313816810897,-0.00696864111498263
"2014-08-21",-0.00911833870425904,0,0.0332326283987916,-0.00987841945288759,0.0011096315776824,0.00701754385964914
"2014-08-22",-0.0122701870899813,0,0.0116959064327486,0.0429777436684575,0.0192861667194377,0.0383275261324041
"2014-08-25",-0.0177184429763299,0,0,-0.0264900662251655,0.00260978686385394,-0.00671140939597314
"2014-08-26",0.0253166850498383,0.0531249999999999,0.0433526011560694,0.0317460317460316,0.0449023880651795,0
"2014-08-27",-0.00617273626628501,-0.0652818991097923,-0.00831024930747926,-0.00805860805860814,-0.002283516806457,0.0101351351351353
"2014-08-28",0.00621107559788081,0.0920634920634922,-0.0195530726256983,0,0.0285060127235537,0.00334448160535117
"2014-08-29",0.0092589466177122,0,-0.0142450142450142,-0.0140324963072378,0.00647380133522146,0.03
"2014-09-02",-0.0458715883182065,0,-0.0202312138728323,0.0247191011235954,0.0255276381909548,-0.00647249190938515
"2014-09-03",-0.0032049118387083,-0.0174418604651163,0,-0.0423976608187134,-0.0331242257938064,-0.0032573289902279
"2014-09-04",-0.0418007709944093,0,0.0353982300884956,0.00916030534351142,0.0184471916299536,0.0457516339869282
"2014-09-05",0.00335616407806527,0,-0.0028490028490028,0.0022692889561271,0.00915603068646376,0.075
"2014-09-08",-0.0234111459404416,0,-0.0142857142857142,0.019622641509434,0.02564100541142,0
"2014-09-09",-0.00342512399530104,0,-0.0289855072463768,-0.00370096225018501,-0.02673075,0.0145348837209303
"2014-09-10",0.01030928197267,0.00591715976331364,0,0.00148588410104011,0.0454455434608665,0.00286532951289398
"2014-09-11",0,0.0264705882352942,0,0.00741839762611263,-0.00510302400302387,0.00571428571428578
"2014-09-12",-0.0204081703625264,-0.0544412607449858,0,0.0191458026509572,-0.010068351255098,-0.0255681818181818
"2014-09-15",0,-0.0303030303030302,0,-0.00794797687861271,-0.0523891757361509,-0.00291545189504383
"2014-09-16",-0.00347198678230964,0,-0.0477611940298508,0.0138383102694828,0.0293641346827838,-0.0555555555555556
"2014-09-17",-0.0209059258274965,0,0.00313479623824442,-0.0265804597701149,-0.00255756432982235,0
"2014-09-18",-0.0213526796093826,0,-0.015625,-0.0191881918819189,0.00355029578796251,0.0278637770897832
"2014-09-19",-0.00727260694758713,-0.0125,0,-0.0255831452219714,0.0416666461936588,-0.0210843373493975
"2014-09-22",-0.0329670453136769,0.0126582278481013,0,-0.0501930501930501,-0.0200000188679246,-0.0492307692307693
"2014-09-23",0.0416665537092942,0,-0.0476190476190477,0.00325203252032513,0.00442816720115835,-0.00970873786407755
"2014-09-24",-0.0181817032645494,0,0.0733333333333333,0.0340356564019448,0.0151428221254677,-0.00980392156862753
"2014-09-25",0,0,-0.0652173913043478,-0.018025078369906,-0.0285120473661641,-0.0627062706270627
"2014-09-26",-0.0148145679740714,-0.0156250000000001,-0.00996677740863783,0.0590582601755787,0.008551953186551,0.028169014084507
"2014-09-29",-0.0112781969337233,0,-0.0100671140939598,-0.0203466465712132,-0.00289067263231213,0.0136986301369864
"2014-09-30",-0.057034616677973,0.015873015873016,0,-0.0384615384615384,-0.00309238488239716,0.0304054054054053
"2014-10-01",0.028226371658358,0,-0.0101694915254237,-0.028,-0.0294688045960138,-0.0524590163934425
"2014-10-02",0.0156860072091001,-0.03125,-0.0376712328767124,0.0650205761316871,0.0357570308478419,-0.0173010380622838
"2014-10-03",-0.0540539366933104,0.032258064516129,0.01067615658363,0.000772797527047953,0.0403086032905922,0
"2014-10-06",0.048979598650065,-0.0468750000000001,-0.0246478873239436,-0.0478764478764478,-0.00834254742941321,-0.0246478873239436
