"","NBGIF.Open","NBGIF.High","NBGIF.Low","NBGIF.Close","NBGIF.Volume","NBGIF.Adjusted"
"566",192,192,192,192,0,192
"567",192,192,192,192,0,192
"568",192,192,192,192,0,192
"569",192,192,192,192,0,192
"570",192,192,192,192,0,192
"571",112.5,120,112.5,120,61,120
"572",120,120,120,120,0,120
"573",76.5,76.5,76.5,76.5,3,76.5
"574",76.5,76.5,76.5,76.5,0,76.5
"575",76.5,76.5,76.5,76.5,0,76.5
"576",76.5,76.5,76.5,76.5,0,76.5
"577",111,111,111,111,1,111
"578",111,111,68.25,68.25,7,68.25
"579",68.25,68.25,68.25,68.25,0,68.25
"580",68.25,68.25,68.25,68.25,0,68.25
"581",68.25,68.25,68.25,68.25,0,68.25
"582",68.25,68.25,68.25,68.25,0,68.25
"583",68.25,68.25,68.25,68.25,0,68.25
"584",82.5,82.5,82.5,82.5,7,82.5
"585",82.5,82.5,82.5,82.5,0,82.5
"586",75,75,75,75,1,75
"587",75,75,75,75,0,75
"588",75,75,75,75,0,75
"589",75,75,75,75,0,75
"590",75,75,75,75,0,75
"591",75,75,75,75,0,75
"592",75,75,75,75,0,75
"593",75,75,75,75,0,75
"594",75,75,75,75,0,75
"595",75,75,75,75,0,75
"596",75,75,75,75,0,75
"597",75,75,75,75,0,75
"598",75,75,75,75,0,75
"599",75,75,75,75,0,75
"600",75,75,75,75,0,75
"601",75,75,75,75,0,75
"602",75,75,75,75,0,75
"603",75,75,75,75,0,75
"604",75,75,75,75,0,75
"605",90,90,90,90,7,90
"606",90,90,90,90,0,90
"607",90,90,90,90,0,90
"608",90,90,90,90,0,90
"609",90,90,90,90,0,90
"610",82.5,82.5,82.5,82.5,7,82.5
"611",75.239998,76.5,74.985001,74.985001,22,74.985001
"612",69.75,69.75,61.724998,61.724998,33,61.724998
"613",62.970001,62.970001,62.970001,62.970001,1,62.970001
"614",64.5,64.5,64.5,64.5,17,64.5
"615",78.885002,78.885002,76.485001,76.485001,18,76.485001
"616",76.485001,76.485001,76.485001,76.485001,0,76.485001
"617",76.485001,76.485001,76.485001,76.485001,0,76.485001
"618",76.485001,76.485001,76.485001,76.485001,0,76.485001
"619",76.485001,76.485001,76.485001,76.485001,0,76.485001
"620",76.485001,76.485001,76.485001,76.485001,0,76.485001
"621",76.485001,76.485001,76.485001,76.485001,0,76.485001
"622",97.004997,97.004997,97.004997,97.004997,5,97.004997
"623",97.004997,97.004997,97.004997,97.004997,0,97.004997
"624",105,105,105,105,13,105
"625",105,105,105,105,0,105
"626",117,117,117,117,7,117
"627",121.199997,126.599998,121.199997,126.599998,20,126.599998
"628",116.669998,133.5,116.669998,133.5,14,133.5
"629",133.5,133.5,133.5,133.5,0,133.5
"630",124.035004,124.035004,112.5,112.5,9,112.5
"631",112.5,112.5,112.5,112.5,0,112.5
"632",112.5,112.5,112.5,112.5,0,112.5
"633",122.25,122.25,122.25,122.25,7,122.25
"634",108,114.584999,108,114.584999,5,114.584999
"635",114.584999,114.584999,114.584999,114.584999,7,114.584999
